Word,POS,Pronunciation (IPA),Frequency
textID,NN,,1
text,NN,T EH K S T,215
,NN,,542970
1514,CD,,5
Albert,NNP,AE L B ER T,142
Prussia,NN,P R AH SH AH,41
17,CD,,427
May,NNP,M EY,814
1490,CD,,10
20,CD,,562
March,NNP,M AA R CH,982
1568,CD,,7
last,JJ,L AE S T,610
Grand,NNP,G R AE N D,306
Master,NN,M AE S T ER,192
Teutonic,NN,T UW T AO N IH K,10
Knights,NNS,N AY T S,16
converting,VBG,K AH N V ER T IH NG,15
Lutheranism,NN,,5
became,VBD,B IH K EY M,1216
first,RB,F ER S T,3477
monarch,NN,M AA N AA R K,6
Duchy,NN,D AH CH IY,61
secularized,VBN,S EH K Y AH L ER AY Z D,1
state,NN,S T EY T,786
emerged,VBD,IH M ER JH D,42
former,JJ,F AO R M ER,752
Monastic,JJ,M AH N AE S T IH K,1
State,NN,S T EY T,780
European,JJ,Y UH R AH P IY AH N,361
ruler,NN,R UW L ER,40
establish,VB,IH S T AE B L IH SH,72
Protestantism,NN,P R AA T AH S T AH N T IH Z AH M,9
official,NN,AH F IH SH AH L,295
religion,NN,R IH L IH JH AH N,112
lands,NNS,L AE N D Z,63
proved,VBN,P R UW V D,86
instrumental,JJ,IH N S T R AH M EH N T AH L,71
political,JJ,P AH L IH T AH K AH L,385
spread,NN,S P R EH D,96
early,RB,ER L IY,830
stage,NN,S T EY JH,282
ruling,NN,R UW L IH NG,50
Prussian,JJ,P R AH SH AH N,16
nearly,RB,N IH R L IY,174
six,CD,S IH K S,339
decades,NNS,D EH K EY D Z,68
15101568,CD,,1
member,NN,M EH M B ER,650
BrandenburgAnsbach,NN,,5
branch,NN,B R AE N CH,129
House,NNP,HH AW S,537
Hohenzollern,JJ,,11
election,NN,IH L EH K SH AH N,331
brought,NN,B R AO T,226
hopes,NNS,HH OW P S,34
reversal,NN,R IH V ER S AH L,3
declining,VBG,D IH K L AY N IH NG,9
fortune,NN,F AO R CH AH N,22
skilled,VBN,S K IH L D,23
administrator,NN,AH D M IH N AH S T R EY T ER,26
leader,NN,L IY D ER,230
indeed,RB,IH N D IY D,38
reverse,NN,R IH V ER S,21
decline,NN,D IH K L AY N,53
Order,NN,AO R D ER,149
However,RB,HH AW EH V ER,719
sympathetic,JJ,S IH M P AH TH EH T IH K,7
demands,NNS,D IH M AE N D Z,49
Martin,NN,M AA R T AH N,286
Luther,NN,L UW TH ER,46
rebelled,VBN,R IH B EH L D,13
Catholic,JJ,K AE TH L IH K,215
church,NN,CH ER CH,321
Holy,NNP,HH OW L IY,68
Roman,NN,R OW M AH N,253
Empire,NN,EH M P AY ER,172
Protestant,NN,P R AA T AH S T AH N T,22
hereditary,NN,HH ER EH D AH T EH R IY,15
realm,NN,R EH L M,15
uncle,NN,AH NG K AH L,40
King,VBG,K IH NG,508
Poland,NNP,P OW L AH N D,247
arrangement,NN,ER EY N JH M AH N T,40
confirmed,VBN,K AH N F ER M D,106
Treaty,NN,T R IY T IY,41
Krakw,NNP,,10
1525,CD,,7
pledged,VBN,P L EH JH D,11
personal,JJ,P ER S IH N IH L,183
oath,NN,OW TH,18
return,NN,R IH T ER N,304
invested,VBN,IH N V EH S T AH D,17
duchy,NN,D AH CH IY,11
heirs,NNS,EH R Z,13
rule,NN,R UW L,117
fairly,RB,F EH R L IY,34
prosperous,JJ,P R AA S P ER AH S,6
Although,IN,AO L DH OW,301
trouble,NN,T R AH B AH L,36
peasantry,NN,P EH Z AH N T R IY,5
confiscation,NN,K AA N F AH S K EY SH AH N,6
treasures,NNS,T R EH ZH ER Z,13
enabled,VBN,EH N EY B AH L D,23
propitiate,NN,,2
nobles,NNS,N OW B AH L Z,16
provide,NN,P R AH V AY D,226
expenses,NNS,IH K S P EH N S AH Z,16
newly,RB,N UW L IY,93
established,VBN,IH S T AE B L IH SH T,436
court,NN,K AO R T,220
active,JJ,AE K T IH V,202
imperial,JJ,IH M P IH R IY AH L,70
politics,NNS,P AA L AH T IH K S,83
joining,VBG,JH OY N IH NG,79
League,NN,L IY G,781
Torgau,NN,,2
1526,CD,,9
acted,VBN,AE K T AH D,37
unison,NN,Y UW N AH S AH N,6
Protestants,NNS,P R AA T AH S T AH N T S,6
plotting,VBG,P L AA T IH NG,7
overthrow,NN,OW V ER TH R OW,16
Emperor,NN,EH M P ER ER,212
Charles,NNP,CH AA R L Z,394
V,NN,V IY,209
issue,NN,IH SH UW,216
Augsburg,NN,AO G Z B ER G,6
Interim,NN,IH N T ER AH M,6
1548,CD,,6
schools,NNS,S K UW L Z,314
every,DT,EH V ER IY,435
town,NN,T AW N,702
founded,VBN,F AW N D AH D,361
Knigsberg,NNP,,15
University,NNP,Y UW N AH V ER S AH T IY,1410
1544,CD,,5
promoted,VBN,P R AH M OW T AH D,137
culture,NN,K AH L CH ER,218
arts,NNS,AA R T S,106
patronising,VBG,,1
works,NNS,W ER K S,379
Erasmus,NN,IH R AE Z M AH S,8
Reinhold,NN,R AY N HH OW L T,3
Caspar,NN,K AE S P ER,5
Hennenberger,NN,,2
final,JJ,F AY N AH L,474
years,NNS,Y IH R Z,1670
clouded,VBN,K L AW D IH D,4
peasant,NN,P EH Z AH N T,10
resentment,NN,R IH Z EH N T M AH N T,6
heavy,JJ,HH EH V IY,130
taxes,NNS,T AE K S AH Z,53
step,NN,S T EH P,53
felt,NN,F EH L T,122
compelled,VBN,K AH M P EH L D,13
take,VB,T EY K,403
due,JJ,D UW,541
longer,NN,L AO NG G ER,159
land,NN,L AE N D,417
available,JJ,AH V EY L AH B AH L,330
confiscate,NN,K AA N F AH S K EY T,5
Paul,NNP,P AO L,326
Skali,NN,,3
also,RB,AO L S OW,4167
caused,VBN,K AA Z D,217
various,JJ,V EH R IY AH S,414
religious,JJ,R IH L IH JH AH S,185
disputes,NNS,D IH S P Y UW T S,19
spent,NN,S P EH N T,252
virtually,RB,V ER CH UW AH L IY,27
deprived,VBN,D IH P R AY V D,8
power,NN,P AW ER,485
died,VBD,D AY D,614
Tapiau,NN,,2
son,NN,S AH N,533
Frederick,NN,F R EH D R IH K,92
succeeded,VBN,S AH K S IY D AH D,123
Duke,NNP,D UW K,173
dissolution,NN,D IH S AH L UW SH AH N,29
founding,VBG,F AW N D IH NG,68
paving,VBG,P EY V IH NG,4
way,NN,W EY,428
rise,NN,R AY Z,69
therefore,RB,DH EH R F AO R,127
often,RB,AO F AH N,537
seen,VBN,S IY N,277
father,NN,F AA DH ER,510
nation,NN,N EY SH AH N,109
even,RB,IY V IH N,474
indirectly,RB,IH N D ER EH K T L IY,10
responsible,JJ,R IY S P AA N S AH B AH L,138
unification,NN,Y UW N AH F AH K EY SH AH N,14
Germany,NNP,JH ER M AH N IY,347
Early,RB,ER L IY,272
life,NN,L AY F,771
born,NN,B AO R N,1649
Ansbach,NN,,3
Franconia,NN,,2
third,JJ,TH ER D,482
Margrave,NN,M AA R G R EY V,7
mother,NN,M AH DH ER,260
Sophia,NN,S OW F IY AH,20
daughter,NN,D AO T ER,341
Casimir,NN,K AE S IH M IY R,9
IV,NN,,96
Jagiellon,NN,,3
Lithuania,NNP,L IH TH AH W EY N IY AH,65
wife,NN,W AY F,387
Elisabeth,NNS,IH L IH Z AH B IH TH,34
Austria,NNS,AO S T R IY AH,101
raised,VBN,R EY Z D,123
career,NN,K ER IH R,707
Church,NN,CH ER CH,371
time,NN,T AY M,1950
Hermann,NN,HH ER M AH N,62
Hesse,NN,HH EH S,4
Elector,NN,,9
Cologne,NN,K AH L OW N,32
appointed,VBN,AH P OY N T AH D,279
canon,NN,K AE N AH N,18
Cathedral,JJ,K AH TH IY D R AH L,55
Despite,IN,D IH S P AY T,156
quite,RB,K W AY T,84
interested,JJ,IH N T R AH S T AH D,54
mathematics,NNS,M AE TH AH M AE T IH K S,28
